S no,AICTE Id,Institute Name,Institute Type,Address,State,District,City
1,1-44645053830,GIET DEGREE COLLEGE,Private-Self Financing,"NH-16, CHAITANYA KNOWLEDGE CITY, VELUGUBANDA, RAJANAGARAM",Andhra Pradesh,EAST GODAVARI,RAJAHMUNDRY
2,1-44641867190,KSRM COLLEGE OF MANAGEMENT STUDIES,Private-Self Financing,YERRAMASUPALLI VILLAGE C.K. DINNE MANDAL CUDDAPAH - 516003 ANDHRA PRADESH,Andhra Pradesh,YSR DISTRICT,CUDDAPAH
3,1-44643791739,SRI GAYATRI INSTITUTE OF TECHNOLOGY,Private-Self Financing,"O.V ROAD, KANDUKUR",Andhra Pradesh,PRAKASAM,KANDUKUR
4,1-44638658537,AHMEDABAD INSTITUTE OF HOSPITALITY MANAGEMENT,Private-Self Financing,"AT & PO- DANGARWA, KADI KATOSAN ROAD,",Gujarat,AHMEDABAD,AHMEDABAD
5,1-44641517564,GIDC RAJJU SHROFF ROFEL INSTITUTE OF MANAGEMENT STUDIES,Private-Self Financing,"PLOT NO.14/5, POST BOX NO.125, CHHARWADA ROAD, GIDC VAPI",Gujarat,VALSAD,VAPI
6,1-44671859207,N. C. COLLEGE OF ENGINEERING,Private-Self Financing,"N. C. COLLEGE OF ENGINEERING, ISRANA (PANIPAT)",Haryana,PANIPAT,PANIPAT
7,1-44642668699,BANGALORE COLLEGE OF ENGINEERING & TECHNOLOGY,Private-Self Financing,"NEAR HEELALIGE RAILWAY STATION, CHANDAPURA, ANEKAL TALUK, BANGALORE, 560081.",Karnataka,BANGALORE URBAN,BANGALORE
8,1-44645042706,MIT FIRST GRADE COLLEGE THANDAVAPURA,Private-Self Financing,"MYSURU - OOTY ROAD, JUST OFF NH 766 NANJANAGUDU, TALUK, THANDAVAPURA VILLAGE",Karnataka,MYSORE,MYSORE.
9,1-44638468194,ASTRAL INSTITUTE OF BUSINESS MANAGEMENT,Private-Self Financing,"KAILOD KARTAL, BYPASS ROAD",Madhya Pradesh,INDORE,INDORE
10,1-44638349246,DHAR COLLEGE,Private-Self Financing,"157, 160 VILLAGE GYANPURA",Madhya Pradesh,DHAR,GYANPURA
11,1-44641855165,ORIENTAL INSTITUTE OF SCIENCE AND TECHNOLOGY,Private-Self Financing,"KATNI BYPASS ROAD, VILLAGE ANDHUA, DISTRICT- JABALPUR, (MP)",Madhya Pradesh,JABALPUR,JABALPUR
12,1-44672350562,PEACE COLLEGE,Private-Self Financing,"BY PASS ROAD KHURERI,MORAR GWALIOR MADHAYA PRADESH",Madhya Pradesh,GWALIOR,GWALIOR
13,1-44645396576,POISE COLLEGE,Private-Self Financing,GRAM SANKALKHEDA KALAN SH19 ASHOK NAGAR ROAD DIST VIDISHA,Madhya Pradesh,VIDISHA,VIDISHA
14,1-44645388911,RBS INSTITUTE,Private-Self Financing,"PLOT NO 264,VILLAGE KACHOLI",Madhya Pradesh,NEEMUCH,NEEMUCH
15,1-44645395045,SAHIB INSTITUTE OF MANAGEMENT AND RESEARCH INDORE,Private-Self Financing,255/1/1/2 GRAM MOROD KHANDWA ROAD INDORE,Madhya Pradesh,INDORE,INDORE
16,1-44638518832,SARDAR PATEL MAHAVIDYALAYA,Private-Self Financing,"271/3, 272 VILLAGE BIGNODIPURA TEHSIL SARANGPUR DISTRICT RAJGARH (M.P.)",Madhya Pradesh,RAJGARH,SARANGPUR
17,1-44644402055,ART'S SCIENCE AND COMMERCE COLLEGE,Govt aided,"A/P:-RAHURI, TAL:RAHURI, DIST: AHMEDNAGAR 413705",Maharashtra,AHMEDNAGAR,RAHURI
18,1-44643811028,DR ANNASAHEB G D BENDALE MAHILA MAHAVIDYALAYA JALGAON,Govt aided,"JILHA ROAD, JILHA PETH, NEAR STADIUM",Maharashtra,JALGAON,JALGAON
19,1-44642865778,DR.D.Y.PATIL INSTITUTE OF MANAGEMENT & RESEARCH,Private-Self Financing,"SANT TUKARAM NAGAR, OPP. H.A.FACTORY, MUMBAI-PUNE ROAD, PIMPRI, PUNE - 411 018. MAHARASHTRA",Maharashtra,PUNE,PUNE
20,1-44643427192,"G H RAISONI COLLEGE OF BUSINESS MANAGEMENT, KHAPARKHEDA, NAGPUR",Private-Self Financing,"NEAR PRINCE LAWN,BABUBHAI COLONY, CHICHOLI,KHAPERKHEDA, NAGPUR,441102",Maharashtra,NAGPUR,NAGPUR
21,1-44642934161,INDIRA INSTITUTE OF MANAGEMENT,Private-Self Financing,"'TAPASYA', 85/5 'A', NEW MUMBAI - PUNE HIGHWAY, TATHAWADE, WAKAD, PUNE - 411033",Maharashtra,PUNE,PUNE
22,1-44643215271,INDIRA SCHOOL OF BUSINESS STUDIES,Private-Self Financing,"85/5B, 6D/1 & 6D/2, UNITY CAMPUS, NEW PUNE MUMBAI HIGHWAY, TATHAWADE, PUNE MAHARASHTRA PIN 411033",Maharashtra,PUNE,TATHAWADE
23,1-44638448616,INDIRA SCHOOL OF BUSINESS STUDIES PGDM,Private-Self Financing,"89/2-A, NEW PUNE MUMBAI HIGHWAY, TATHAWADE",Maharashtra,PUNE,PUNE
24,1-44643813699,SHREE CHANAKYA EDUCATION SOCIETY'S INDIRA COLLEGE OF PHARMACY,Private-Self Financing,"NIRAMAYA, 89/2A, INDIRA UNIVERSE CAMPUS, NEW PUNE MUMBAI HIGHWAY, TATHAWADE, PUNE",Maharashtra,PUNE,PUNE
