S no,AICTE Id,Institute Name,State,District,Institute Type,Program,University/Board,Level,Name of the Course,Approved Intake,Seats for NRI Quota
1,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,180,9
2,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRONICS COMMUNICATION ENGG,180,9
3,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,120,6
4,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,MECHANICAL ENGINEERING,120,6
5,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,CIVIL ENGINEERING,120,6
6,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND TECHNOLOGY,60,3
7,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,3
8,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,60,3
9,1-9319586590,G.PULLA REDDY ENGINEERING COLLEGE,Andhra Pradesh,KURNOOL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Anantapur",UNDER GRADUATE,COMPUTER SCIENCE ENGINEERING DATA SCIENCE,60,3
10,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),MANAGEMENT,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MBA,240,12
11,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),COMPUTER APPLICATIONS,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MASTER OF COMPUTER APPLICATIONS,60,3
12,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,PHARMACY,100,5
13,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PLANNING,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,ARCHITECTURE,80,4
14,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,1020,51
15,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,BIOTECHNOLOGY,60,3
16,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,CIVIL ENGINEERING,30,2
17,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,180,9
18,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,30,2
19,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,MECHANICAL ENGINEERING,60,3
20,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,FOOD PROCESSING TECHNOLOGY,12,1
21,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,CYBER FORENSICS AND INFORMATION SECURITY,12,1
22,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,DATA SCIENCE,18,1
23,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,STRUCTURAL ENGINEERING,12,1
24,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MACHINE DESIGN,12,1
25,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,VLSI DESIGN,12,1
26,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,POWER SYSTEM AND AUTOMATION,6,0
27,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PLANNING,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,SUSTAINABLE ARCHITECTURE,20,1
28,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICS,15,1
29,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICAL ANALYSIS,15,1
30,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACOLOGY,12,1
31,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),PHARMACY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,PHARMACEUTICAL CHEMISTRY,15,1
32,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),MANAGEMENT,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MBAINTERNATIONAL BUSINESS,60,3
33,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",UNDER GRADUATE,COMPUTER SCIENCE AND BUSINESS SYSTEM,60,3
34,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,COMPUTER SCIENCE AND ENGINEERING,12,1
35,1-9319490326,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Andhra Pradesh,VISAKHAPATNAM,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Gandhi Institute of Technology and Management (GITAM), Visakhapatnam",POST GRADUATE,MANUFACTURING TECHNOLOGY AUTOMATION,12,1
